date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,has_shootout,shootout_winner,goalscorers_rows,penalty_goals_count,own_goals_count,fixture_id,league_id,season,source
2022-02-01,Nepal,Mauritius,1.0,0.0,Friendlies,,,,False,,0,0,0,821445,10,2022,api_football
2022-02-01,Kuwait,Libya,0.0,2.0,Friendlies,,,,False,,0,0,0,828063,10,2022,api_football
2022-02-01,DR Congo,Bahrain,0.0,1.0,Friendlies,,,,False,,0,0,0,821444,10,2022,api_football
2022-02-01,Suriname,Guyana,2.0,1.0,Friendlies,,,,False,,0,0,0,826948,10,2022,api_football
2022-03-18,Iraq,Zambia,3.0,1.0,Friendlies,,,,False,,0,0,0,848767,10,2022,api_football
2022-03-19,Mauritius,Seychelles,0.0,0.0,Friendlies,,,,False,,0,0,0,849944,10,2022,api_football
2022-03-23,Guinea-Bissau,Equatorial Guinea,3.0,0.0,Friendlies,,,,False,,0,0,0,852225,10,2022,api_football
2022-03-23,Laos,Mongolia,1.0,0.0,Friendlies,,,,False,,0,0,0,849945,10,2022,api_football
2022-03-23,Malaysia,Philippines,2.0,0.0,Friendlies,,,,False,,0,0,0,847833,10,2022,api_football
2022-03-23,Tanzania,Central African Republic,3.0,1.0,Friendlies,,,,False,,0,0,0,850210,10,2022,api_football
2022-03-23,Bahrain,India,2.0,1.0,Friendlies,,,,False,,0,0,0,847821,10,2022,api_football
2022-03-23,Gibraltar,Grenada,0.0,0.0,Friendlies,,,,False,,0,0,0,829110,10,2022,api_football
2022-03-23,Mozambique,Niger,1.0,1.0,Friendlies,,,,False,,0,0,0,848007,10,2022,api_football
2022-03-24,Thailand,Nepal,2.0,0.0,Friendlies,,,,False,,0,0,0,847813,10,2022,api_football
2022-03-24,Liberia,Benin,0.0,4.0,Friendlies,,,,False,,0,0,0,850213,10,2022,api_football
2022-03-24,Armenia,Montenegro,1.0,0.0,Friendlies,,,,False,,0,0,0,825990,10,2022,api_football
2022-03-24,Togo,Sierra Leone,3.0,0.0,Friendlies,,,,False,,0,0,0,850212,10,2022,api_football
2022-03-24,Maldives,Bangladesh,2.0,0.0,Friendlies,,,,False,,0,0,0,847834,10,2022,api_football
2022-03-24,Kosovo,Burkina Faso,5.0,0.0,Friendlies,,,,False,,0,0,0,847822,10,2022,api_football
2022-03-24,Hungary,Serbia,0.0,1.0,Friendlies,,,,False,,0,0,0,825229,10,2022,api_football
2022-03-24,Scotland,Poland,1.0,1.0,Friendlies,,,,False,,0,0,0,849943,10,2022,api_football
2022-03-25,Guatemala,Cuba,1.0,0.0,Friendlies,,,,False,,0,0,0,847823,10,2022,api_football
2022-03-25,Uganda,Tajikistan,1.0,1.0,Friendlies,,,,False,,0,0,0,848008,10,2022,api_football
