fixture_id,date,home_team,away_team,home_score,away_score,tournament,league_id,season,source
821437,2022-01-03,Guinea,Rwanda,0.0,3.0,Friendlies,10,2022,api_football
821440,2022-01-04,Mauritania,Gabon,1.0,1.0,Friendlies,10,2022,api_football
821410,2022-01-05,Algeria,Ghana,3.0,0.0,Friendlies,10,2022,api_football
821442,2022-01-06,Rwanda,Guinea,0.0,2.0,Friendlies,10,2022,api_football
821414,2022-01-12,Iceland,Uganda,1.0,1.0,Friendlies,10,2022,api_football
821415,2022-01-15,Iceland,South Korea,1.0,5.0,Friendlies,10,2022,api_football
821417,2022-01-16,Peru,Panama,1.0,1.0,Friendlies,10,2022,api_football
821416,2022-01-16,Colombia,Honduras,2.0,1.0,Friendlies,10,2022,api_football
821431,2022-01-18,Moldova,Uganda,2.0,3.0,Friendlies,10,2022,api_football
821419,2022-01-21,Peru,Jamaica,3.0,0.0,Friendlies,10,2022,api_football
821418,2022-01-21,South Korea,Moldova,4.0,0.0,Friendlies,10,2022,api_football
823572,2022-01-21,Iraq,Uganda,1.0,0.0,Friendlies,10,2022,api_football
825178,2022-01-21,Bolivia,Trinidad and Tobago,5.0,0.0,Friendlies,10,2022,api_football
828035,2022-01-27,Indonesia,Timor-Leste,4.0,1.0,Friendlies,10,2022,api_football
823573,2022-01-27,Bahrain,Uganda,3.0,1.0,Friendlies,10,2022,api_football
821432,2022-01-28,Jordan,New Zealand,3.0,1.0,Friendlies,10,2022,api_football
826946,2022-01-28,Suriname,Barbados,1.0,0.0,Friendlies,10,2022,api_football
821443,2022-01-29,Nepal,Mauritius,1.0,0.0,Friendlies,10,2022,api_football
828062,2022-01-29,Kuwait,Libya,2.0,0.0,Friendlies,10,2022,api_football
826947,2022-01-30,Nicaragua,Belize,4.0,0.0,Friendlies,10,2022,api_football
828036,2022-01-30,Indonesia,Timor-Leste,3.0,0.0,Friendlies,10,2022,api_football
821445,2022-02-01,Nepal,Mauritius,1.0,0.0,Friendlies,10,2022,api_football
828063,2022-02-01,Kuwait,Libya,0.0,2.0,Friendlies,10,2022,api_football
821444,2022-02-01,Congo DR,Bahrain,0.0,1.0,Friendlies,10,2022,api_football
826948,2022-02-01,Suriname,Guyana,2.0,1.0,Friendlies,10,2022,api_football
848767,2022-03-18,Iraq,Zambia,3.0,1.0,Friendlies,10,2022,api_football
849944,2022-03-19,Mauritius,Seychelles,0.0,0.0,Friendlies,10,2022,api_football
852225,2022-03-23,Guinea-Bissau,Equatorial Guinea,3.0,0.0,Friendlies,10,2022,api_football
849945,2022-03-23,Laos,Mongolia,1.0,0.0,Friendlies,10,2022,api_football
847833,2022-03-23,Malaysia,Philippines,2.0,0.0,Friendlies,10,2022,api_football
850210,2022-03-23,Tanzania,Central African Republic,3.0,1.0,Friendlies,10,2022,api_football
847821,2022-03-23,Bahrain,India,2.0,1.0,Friendlies,10,2022,api_football
829110,2022-03-23,Gibraltar,Grenada,0.0,0.0,Friendlies,10,2022,api_football
848007,2022-03-23,Mozambique,Niger,1.0,1.0,Friendlies,10,2022,api_football
847813,2022-03-24,Thailand,Nepal,2.0,0.0,Friendlies,10,2022,api_football
850213,2022-03-24,Liberia,Benin,0.0,4.0,Friendlies,10,2022,api_football
825990,2022-03-24,Armenia,Montenegro,1.0,0.0,Friendlies,10,2022,api_football
850212,2022-03-24,Togo,Sierra Leone,3.0,0.0,Friendlies,10,2022,api_football
847834,2022-03-24,Maldives,Bangladesh,2.0,0.0,Friendlies,10,2022,api_football
847822,2022-03-24,Kosovo,Burkina Faso,5.0,0.0,Friendlies,10,2022,api_football
825229,2022-03-24,Hungary,Serbia,0.0,1.0,Friendlies,10,2022,api_football
849943,2022-03-24,Scotland,Poland,1.0,1.0,Friendlies,10,2022,api_football
847823,2022-03-25,Guatemala,Cuba,1.0,0.0,Friendlies,10,2022,api_football
848008,2022-03-25,Uganda,Tajikistan,1.0,1.0,Friendlies,10,2022,api_football
